,微博id,发布者昵称,发布者性别,发布者地区,发布者关注数,发布者粉丝数,微博正文,原始图片url,发布时间,发布工具,点赞数,转发数,评论数,发布位置,,
11,Jcw9XuD8F,种草惠惠酱,女,海外,1496,3350,种草惠惠酱:【女人常吃土豆的4大益处】：1、土豆能留住岁月的脚步，抗衰老；2、土豆能减肥，土豆的奇妙之处，瘦人吃能变胖，胖人吃能变瘦；3、土豆是天然的美容佳品，祛斑、抗晒伤。。。4、土豆能吃出好性格，土豆含有大量VC，改善精神状态#中国重组新冠疫苗二期临床试验结果# 小秘密：不要多花冤枉钱，今天才听说竟然还有人不知道公 「大补贴」可以@半@价@网@购甚至@免@单 ,无,2020/7/23 13:00,sou280,1,0,0,无,"土豆,新冠,重组,听说,知道",
12,Jcwxr8Blc,直新闻,男,广东,130,797931,直新闻:【特朗普：愿和中国进行新冠疫苗合作】美国总统特朗普在当地时间周二声称，如果中国最先成功研制出新冠疫苗，美国愿与中国合作。对此《华盛顿观察家报》讽刺称，虽然特朗普在当天的简报会上反复把新冠病毒称为所谓的“中国病毒”，但在谈及中国研发疫苗的成果时，特朗普又觉得让美国人接种疫苗的努力应该是“全球性的”。#美国总统特朗普# #特朗普愿与中国进行新冠疫苗合作# ,无,2020/7/23 13:58,微博视频,11,8,12,无,"疫苗,中国,新冠,合作,美国",
13,JcwyKpdWS,祖国杂志社官博,女,北京,74,4622,祖国杂志社官博:【#全球首次正式发表新冠疫苗Ⅱ期临床数据#】北京时间7月20日晚，世界顶级医学期刊《柳叶刀》在线发表由中国工程院院士、军事科学院军事医学研究院研究员陈薇团队领衔研发的重组新冠疫苗（腺病毒载体）Ⅱ期临床试验结果。这是全球首次正式发表新冠疫苗Ⅱ期临床试验数据。（央视网） ,无,2020/7/23 14:01,深度报道 · 视频社区,1,0,0,无,"新冠,疫苗,发表,数据,领衔",
14,JiiwjpKqz,YoukerCondotel,女,北京,77,10349,YoukerCondotel:🇹🇭泰国一周简报8.22-8.28#泰国旅行[超话]#———————————————🔸8月22日🚲❖洛坤府果农提供5吨山竹，让游客免费品尝，活动自8月22日开始至8月26日。❖攀牙府举行骑行活动，刺激旅游业复苏。 🔸 8月23日🏝❖普吉将允许长期游客入境，游客需住满30天。 🔸 8月24日🙂❖中方决定自2020年8月22日0时起，持中方相关有效居留许可（工作类、私人事务类、团聚类居留许可）的泰国公民，可向中国驻泰国使领馆免费申办来华签证。❖泰国普吉推出4T迎外游模式：TARGET—明确的赴泰群体，TESTING—从始发地开始做好检疫工作，TRACING—定位追踪APP，TREATMENT—做好出现新冠患者的准备。❖疫苗若研制成功，中国将优先向湄公河流域国家提供 🔸8月25日🛣️❖美国愿将2件泰国流落海外古文物归还❖9月4日-7日曼谷3条高速公路免费通行 🔸 8月26日🏦❖泰国疾控厅将推出“抗疫腕带”，追踪新冠患者及隔离者！❖泰国内阁同意拨款10亿铢用于新冠疫苗研发 🔸 8月27日🤩❖内阁批准增加“我们齐去旅游”优惠权益 🔸 8月28日🙃❖泰国暂不实行“普吉4T模式”迎外游，需循序渐进#泰国社会头条##泰国美食##泰国疫情##国际疫情动态# 原图 ,无,2020/8/30 13:19,iPhone客户端,1,0,1,无,"泰国,免费,游客,新冠,疫情",
15,Jisloou40,庚白星君,男,江苏,3353,148698,庚白星君:针对外界关注的新冠疫苗ADE（抗体依赖增强效应），以及外界猜测接种疫苗后可能会引发的疾病加重风险，中国疾控中心主任高福院士独家回应：“目前新冠疫苗ADE没有定论，必须要有经同行评审的数据公布才能说话！”一位公共卫生专家表示。“疫苗接种后可能引发疾病加重的情况，目前也只是一种推测，还需要更多数据证明。” (第一财经)今天疫苗股大跌原因。 ,无,2020/8/31 14:19,微博 weibo.com,1,0,4,无,"疫苗,数据,引发,疾病,新冠",
16,JiJnUd9FW,遵义发布,男,贵州,2084,310769,遵义发布:【美媒：#美国称不加入与世卫有关的疫苗开发#】据美国《华盛顿邮报》9月1日报道称，美国不会加入一个全球合作研发疫苗的联盟，部分原因是白宫不想和世卫组织合作。美国白宫副新闻秘书贾德·迪雷说：“美国将继续和我们的国际伙伴合作抗疫，但我们不会被一些受到世卫组织和中国影响的多边组织所约束。”报道称，目前全球有超过170个国家和地区正在谈判加入新冠疫苗全球渠道计划（COVAX），该计划得到了世卫组织、其他疫苗开发组织以及美国传统盟友的支持，包括日本德国和欧盟，但美国则不会加入。报道中，乔治城大学全球卫生法学教授Lawrence Gostin说：“美国采取了一种单独行动的策略，这是一场巨大的赌博。”（记者 蒋成龙） 原图 ,无,2020/9/2 9:42,无,2,0,0,无,"组织,美国,疫苗,全球,加入",
17,JiJIdhxmh,937江苏新闻广播,男,江苏,1186,3102892,937江苏新闻广播:【美媒：#美国称不加入与世卫有关的疫苗开发#】据美国《华盛顿邮报》9月1日报道称，美国不会加入一个全球合作研发疫苗的联盟，部分原因是白宫不想和世卫组织合作。美国白宫副新闻秘书贾德·迪雷说：“美国将继续和我们的国际伙伴合作抗疫，但我们不会被一些受到世卫组织和中国影响的多边组织所约束。”报道称，目前全球有超过170个国家和地区正在谈判加入新冠疫苗全球渠道计划（COVAX），该计划得到了世卫组织、其他疫苗开发组织以及美国传统盟友的支持，包括日本德国和欧盟，但美国则不会加入。报道中，乔治城大学全球卫生法学教授Lawrence Gostin说：“美国采取了一种单独行动的策略，这是一场巨大的赌博。” 原图 ,无,2020/9/2 10:32,iPhone XR,1,0,0,无,"组织,美国,疫苗,全球,加入",
18,JjxlHvQIo,金水湾科技,男,陕西,1470,4362,金水湾科技:【陈薇：重组新冠疫苗年产3亿的目标可以实现】中国工程院院士、军事科学院军事医学研究院研究员陈薇表示，我们的重组新冠疫苗从Ⅰ期临床试验时就开始进行大规模量产的准备。从目前来看，年产3亿的目标是可以实现的，我们正在努力扩大产能。Ⅲ期试验结果出来之后，我们的产能也会同步跟上，做好随时向民众大规模接种的技术准备，争取无缝对接。（新华社） ,无,2020/9/7 16:54,股市风暴超话,0,1,0,无,"准备,试验,技术,重组,疫苗",
19,Jjxm0a6fK,西安网,男,陕西,1174,162220,西安网:【陈薇院士：#重组新冠疫苗能有效覆盖病毒变异#[加油]】#关注新冠肺炎#由军事科学院研制的重组新冠疫苗有哪些特点？陈薇院士在接受新华社采访时表示，这款疫苗我们有自主知识产权，这就意味着我们在任何时候、任何场合不用看别人脸色来做我们的疫苗开发。在后续疫苗投产应用时，我们也能以更低的价格让中国百姓在需要的时候，第一时间获得接种。从目前来看，我们的重组新冠疫苗对已经发生变异的新冠病毒能够有效覆盖。（新华社） ,无,2020/9/7 16:55,微博 weibo.com,0,1,0,无,"疫苗,新冠,时候,病毒,重组",
20,JjxnAtsPZ,临潼检察,男,陕西,174,1183,临潼检察:【#新冠病毒灭活疫苗有望年底上市# 一期投产后年产能可达3亿剂次】本届#服贸会#，在公共卫生防疫专题展区里，国药集团中国生物研制的新冠病毒灭活疫苗首次亮相。目前，该疫苗正在海外进行大规模III期临床试验，有望年底上市，一期投产后年产能可达3亿剂次，二期可达10亿剂次。 （央视网快看） ,无,2020/9/7 16:59,360安全浏览器,2,0,1,无,"新冠,病毒,活疫苗,上市,投产",
21,JjxwtDlM7,渭南检察,男,陕西,612,27161,渭南检察:【陈薇院士：#重组新冠疫苗能有效覆盖病毒变异#[加油]】陈薇院士表示，由军事科学院研制的重组新冠疫苗有自主知识产权，这就意味着我们在任何时候、任何场合不用看别人脸色来做我们的疫苗开发。在后续疫苗投产应用时，我们也能以更低的价格让中国百姓在需要的时候，第一时间获得接种。从目前来看，我们的重组新冠疫苗对已经发生变异的新冠病毒能够有效覆盖。 ,无,2020/9/7 17:20,HUAWEI P30,16,24,14,无,"疫苗,新冠,时候,重组,病毒",
22,JjxA6dYwj,央广军事,男,北京,485,14895099,央广军事:【重磅！#陈薇团队疫苗海外获批开展临床试验#】由陈薇团队研发的重组新冠疫苗，目前已经获得俄罗斯和巴基斯坦批准开展三期临床试验。重组新冠疫苗的研制让世界再次见证了“中国速度”：3月16日，启动一期临床试验，是全球首个进入临床研究阶段的新冠疫苗；4月12日，二期临床试验启动；8月11日，疫苗获国家专利，是国内首个进入临床获得专利权的新冠疫苗。(央视军事) ,无,2020/9/7 17:29,无,124,17,9,无,"疫苗,新冠,临床试验,开展,获得",
23,JjxC5DdNY,渭南检察,男,陕西,612,27161,渭南检察:【重磅！#陈薇团队疫苗海外获批开展临床试验#】由陈薇团队研发的重组新冠疫苗，目前已经获得俄罗斯和巴基斯坦批准开展三期临床试验。重组新冠疫苗的研制让世界再次见证了“中国速度”：3月16日，启动一期临床试验，是全球首个进入临床研究阶段的新冠疫苗；4月12日，二期临床试验启动；8月11日，疫苗获国家专利，是国内首个进入临床获得专利权的新冠疫苗。(央视军事) ,无,2020/9/7 17:34,HUAWEI P30,32,25,24,无,"疫苗,新冠,临床试验,开展,获得",
24,JjxI3iZKl,成都交通文艺广播,女,四川,306,110924,成都交通文艺广播:【重磅！#陈薇团队疫苗海外获批临床试验#】由陈薇团队研发的重组新冠疫苗，目前已经获得俄罗斯和巴基斯坦批准开展三期临床试验。重组新冠疫苗的研制让世界再次见证了“中国速度”：3月16日，启动一期临床试验，是全球首个进入临床研究阶段的新冠疫苗；4月12日，二期临床试验启动；8月11日，疫苗获国家专利，是国内首个进入临床获得专利权的新冠疫苗。 @人民日报 ,无,2020/9/7 17:49,iPhone客户端,0,1,0,无,"疫苗,新冠,临床试验,获得,临床",
25,JjxUad4tx,王者君啊,男,北京,2209,168644,王者君啊:#陈薇团队疫苗海外获批开展临床试验#【陈薇院士：#重组新冠疫苗能有效覆盖病毒变异#】中国工程院院士陈薇：我们的重组新冠疫苗对已经发生变异的新冠病毒能够完全覆盖。从目前来看，年产3亿的目标是可以实现的，我们正在努力扩大产能。企查查APP显示，8月11日国家知识产权局向申请人中国人民解放军军事科学院军事医学研究院和康希诺生物股份公司发出专利授权通知书，对发明专利申请“一种以人复制缺陷腺病毒为载体的重组新型冠状病毒疫苗”（申请号：202010193587.8）授予专利权。 [组图共4张] 原图 ,无,2020/9/7 18:19,微博国际版,2,0,4,无,"疫苗,新冠,查查,专利权,重组",
26,JjZlXdWgE,tbzm333,男,北京,2401,615,tbzm333:新冠肺炎疫苗在中国亮相。法新社记者说中国在玄耀。外媒反应比较复杂。中国说了优先供给东盟国家接种疫苗，菲律宾也想第一时间得到疫苗。非洲国家也是中国优先提供的对象。祈祷世界不再有新冠肺炎🙏🙏🙏🙏🙏🙏 北京·西坝河西里社区 显示地图 [组图共2张] 原图 ,无,2020/9/10 16:11,HUAWEI Mate 10,1,0,0,无,"中国,疫苗,优先,社区,显示",
27,JjZmfzcrp,杨建国,男,河南,3211,2577388,杨建国:#致敬时代英雄#【#陈薇被颁授国家荣誉称号奖章#：研制新冠疫苗让世界见证“中国速度”】9月8日，陈薇获授“人民英雄”国家荣誉称号。 在武汉战疫的4个月时间里，她率领团队研制的重组新冠疫苗则让世界再次见证了“中国速度”，成为国内首个进入临床获得专利权的新冠疫苗。 ,无,2020/9/10 16:12,老杨会客厅超话,165,124,104,无,"新冠,荣誉称号,研制,疫苗,英雄",
28,JjZsJtBwn,陌良暖心,女,山东,320,373,陌良暖心:#寻找当代花木兰# 陈薇院士，在武汉战“疫”期间，她率领团队研制的重组新冠疫苗，让世界再次见证“中国速度”。她说过，“希望能更多的让女性同胞觉得，在她们今后遇到一些人生的或者跟健康相关的问题的时候，可能会有一些像我这样的女性科研工作者，给他们排忧解难。”陈薇院士就是当代花木兰。 木兰精神“忠勇真”，我认为“忠”是“忠于自己”，更加了解自己，明白自己想要的是什么，不委屈求全，为想要的去争取，活出真我。“勇”是“勇于担当”，如木兰一样，勇于承担责任。越来越多的女性在家庭，事业上独当一面，巾帼不让须眉，作出亮眼的成绩。“真”是“去伪存真”，保持真实，真实面对情感，面对生活，面对困难。 当代花木兰精神是坚定、果敢、拼搏的精神，这种精神既美丽又强大，忠于自我，勇于担当，保持真实。 [组图共2张] 原图 ,无,2020/9/10 16:28,荣耀10 AI变色更潮美,8,0,0,无,"女性,面对,精神,争取,新冠",
29,JjZyqhDxH,梁贵人1803628574,男,北京,1820,395,梁贵人1803628574:中国疫苗集体亮相：疫苗不是救世主，无法战胜新冠病毒疫情 别等疫苗了，疫苗从来没有发挥过作用，这次新冠病毒疫情也不例外 原图 ,无,2020/9/10 16:42,欢太浏览器,1,0,0,无,"疫苗,病毒,疫情,新冠,无法",
30,Jk04m4qux,郑州发布,男,河南,238,1093990,郑州发布:#发现郑州之变# 【新冠疫苗何时能打？所有人都要打？最新回应来了！】疫苗多久打一次？新冠疫苗可能也不需要像流感疫苗那样一年打一回。疫苗什么时候上市？目前，国药集团中国生物北京生物制品研究所新冠灭活疫苗生产通过相关部门组织的生物安全联合检查，具备了使用条件。国药集团已投入资金约20亿元，建设了两个高等级生物安全生产车间。周颂透露，灭活疫苗最快12月底即可上市。点击查看详情： [组图共2张] 原图 ,无,2020/9/10 18:01,微博 weibo.com,1,0,0,无,"生物,疫苗,国药,集团,上市",
31,Jk0DFk8U9,巴西南美侨报,男,海外,205,55426,巴西南美侨报:【秘鲁启动中国新冠疫苗三期临床试验 21名志愿者已接种】#海外疫情# 秘鲁已于9月9日正式启动中国国药集团（Sinopharm）新冠肺炎疫苗三期临床试验，21名志愿者已经接种疫苗。【今日拉美】: 原图 ,无,2020/9/10 19:28,iPhone客户端,1,0,0,无,"疫苗,新冠,启动,中国,秘鲁",
32,Jk0F54Qpg,三思逍遥,男,四川,2358,2282631,三思逍遥:选择打哪一种新冠疫苗？个人推荐注射新冠病毒灭活疫苗目前已经进入临床三期的新冠疫苗从原理上分为以下三种：1、腺病毒载体疫苗（针对S蛋白）中国的Ad5-nCoV、牛津的AZD1222（已被暂时叫停）和俄罗斯的Sputnik V2、核酸疫苗（mRNA疫苗和DNA疫苗）（针对S蛋白）美国的mRNA-1273、德国中国美国合作的BNT162b13、灭活新冠病毒疫苗中国有两款灭活疫苗大规模注射针对S蛋白的疫苗，必然导致对新冠病毒S蛋白进化的一次强大选择压力，这意味着如果不能一锤定音搞死新冠病毒，可以预测的是新冠病毒因此产生新毒株的可能性非常高，这就意味着注射只针对S蛋白的新冠疫苗的保护期可能会大幅度缩短。而使用灭活病毒作为疫苗，人体可能产生抗体鸡尾酒效应，针对病毒表面的多种蛋白产生抗体，那么即便S蛋白发生了突变，其它抗体还可能继续提供保护作用，从而保护你免遭突变后的新冠病毒的侵袭或至少降低患上重症的风险。 #v光计划# 原图 ,无,2020/9/10 19:31,微博 weibo.com,12,14,11,无,"疫苗,新冠,病毒,蛋白,可能",
33,Jk0N89W7L,BTV特别关注,女,北京,360,1428274,BTV特别关注:【巴西圣保罗州长：中国产疫苗临床试验结果积极】巴西圣保罗州长表示，巴西布坦坦研究所的研究人员以及一个专家小组正在对中国制造的新冠肺炎疫苗进行测试跟踪，到目前为止，一切正常。从7月22日开始，中国研制疫苗第三期临床试验开始在巴西进行，根据双方协议，在疫苗取得成功之后，中方也将向巴西转让技术，可以在巴西直接生产疫苗。 ,无,2020/9/10 19:51,微博云剪,6,0,0,无,"巴西,疫苗,中国,进行,临床试验",
34,Jk130dFPX,初牛杂谈,男,广东,265,62757,初牛杂谈:中国的新冠病毒疫苗自费调查表显示先期自费价格1000元左右，义乌小商品城外国人多，优先级也高。从这价格来看，是中国生物的灭活疫苗。先期肯定是满足特定人群，物以稀为贵，可等的后期肯定便宜很多或者纳入医保。如果你是需要人群，目前阶段的防疫状态的中国，1000元你接受吗？ 原图 ,无,2020/9/10 20:30,无,38,4,29,无,"中国,自费,肯定,人群,调查表",
35,Jk1dbnR4M,韩玉兔,女,上海,325,1284510,【美股盘前消息速报】①美国股指期货小幅上涨，截至发稿，道指期货涨0.18%，标普500期指涨0.31%，纳指期货涨0.84%；②美国9月5日当周初请失业金人数为88.4万人，前值88.1万人；③欧洲央行维持三大关键利率不变；④美机构预测：4项获美支持的新冠疫苗末期试验可能失败；⑤百胜中国香港上市首日跌破发行价，收跌5.29%；⑥阿斯利康新冠疫苗并非首次出现严重不良事件，关联性待考；⑦路威酩轩：计划在特拉华州对蒂芙尼提起诉讼，收购的必要条件没有完成；⑧特斯拉盘前涨幅扩大至5%，周三股价反弹，收涨近11%。 ,无,2020/9/10 20:55,微博 weibo.com,12,0,2,无,"疫苗,新冠,收购,不变,美国",
36,Jk1ix9NjW,西班牙欧浪资讯,男,海外,985,407,欧盟与全球多个疫苗研发实验室进行采购谈判，欧盟委员会今日宣布刚刚与Pfizer y BioNTech实验室达成了预购1亿剂疫苗的协定，接下来的步骤将是谈判合约条件。Pfizer y BioNTech疫苗是由美国、德国生物公司联手中国复星医药公司研发的新冠疫苗，目前已经在人体临床试验阶段，已经有3万志愿者报名参与试验。最近几天，多家西班牙媒体几次简报说，中国已经开始接种疫苗，对数以万计的人进行接种并且非常成功。 西班牙·马德里 ,全文,2020/9/10 21:08,iPhone 7 Plus,1,0,0,无,"疫苗,中国,谈判,实验室,公司",
37,Jk1Fxyr2E,科技日报,女,北京,406,784773,科技日报:【数十万新冠灭活疫苗接种者目前零感染】国药集团中国生物负责人就新冠灭活疫苗紧急使用和海外III期临床研究情况接受媒体采访时透露，国药中国生物研制的两款新冠灭活疫苗紧急使用，已经接种了数十万人次，无一例明显不良反应，无一人感染；其中打完疫苗之后去海外高风险国家和地区的数万人，截至目前实现了零感染。#国产新冠灭活疫苗实物亮相服贸会#（科技日报记者 瞿剑） 原图 ,无,2020/9/10 22:05,微博 weibo.com,29,13,20,无,"活疫苗,国药,中国,高风险,感染",
38,Jk1GvxwI4,微博财经7X24小时,男,北京,41,128394,微博财经7X24小时: ,无,2020/9/10 22:08,微博股票,1,0,0,无,"财经,小时",
39,Jk1GB6aIF,快兰斯24小时财经直播,女,海外,535,534435,快兰斯24小时财经直播:实时播报：【数十万新冠灭活疫苗接种者目前零感染】国药集团中国生物负责人就新冠灭活疫苗紧急使用和海外III期临床研究情况接受媒体采访时透露，国药中国生物研制的两款新冠灭活疫苗紧急使用，已经接种了数十万人次，无一例明显不良反应，无一人感染；其中打完疫苗之后去海外高风险国家和地区的数万人，截至目前实现了零感染。（科技日报） ,无,2020/9/10 22:08,微博 weibo.com,53,40,11,无,"国药,中国,高风险,生物,财经",
40,Jk1IfD9Oi,黑夜之睛滚雪球,男,海外,1500,338719,黑夜之睛滚雪球:数十万新冠灭活疫苗接种者目前零感染国药集团中国生物负责人就新冠灭活疫苗紧急使用和海外III期临床研究情况接受媒体采访时透露，国药中国生物研制的两款新冠灭活疫苗紧急使用，已经接种了数十万人次，无一例明显不良反应，无一人感染；其中打完疫苗之后去海外高风险国家和地区的数万人，截至目前实现了零感染。 ,无,2020/9/10 22:12,iPhone 11 Pro Max,24,4,11,无,"国药,生物,中国,高风险,感染",
41,Jk1IS5lO0,雪球,男,北京,2486,1572891,雪球:【数十万新冠灭活疫苗接种者目前零感染】国药集团中国生物负责人就新冠灭活疫苗紧急使用和海外III期临床研究情况接受媒体采访时透露，国药中国生物研制的两款新冠灭活疫苗紧急使用，已经接种了数十万人次，无一例明显不良反应，无一人感染；其中打完疫苗之后去海外高风险国家和地区的数万人，截至目前实现了零感染。（科技日报） ,无,2020/9/10 22:13,微博 weibo.com,211,57,41,无,"国药,中国,高风险,生物,感染",
42,Jk1IZqfUE,蓝胖子爱股市,男,海外,386,44517,蓝胖子爱股市:#股市#国药集团中国生物负责人就新冠灭活疫苗紧急使用和海外III期临床研究情况接受媒体采访时透露，国药中国生物研制的两款新冠灭活疫苗紧急使用，已经接种了数十万人次，无一例明显不良反应，无一人感染；其中打完疫苗之后去海外高风险国家和地区的数万人，截至目前实现了零感染。(科技日报) 相信资本市场 我们也能做到No1未来可期 加油💪[加油][加油][加油] ,无,2020/9/10 22:14,无,4,0,1,无,"国药,高风险,中国,使用,实现",
43,Jk1J3hUA1,狙击手伍德,男,天津,353,172888,狙击手伍德:#财经#【数十万新冠灭活疫苗接种者目前零感染】国药集团中国生物负责人就新冠灭活疫苗紧急使用和海外III期临床研究情况接受媒体采访时透露，国药中国生物研制的两款新冠灭活疫苗紧急使用，已经接种了数十万人次，无一例明显不良反应，无一人感染；其中打完疫苗之后去海外高风险国家和地区的数万人，截至目前实现了零感染。（科技日报） ,无,2020/9/10 22:14,新浪财经,1,0,0,无,"国药,中国,高风险,生物,感染",
