

























年龄,钨矿,存在,表明,成矿
流体,包裹,骑田岭,芙蓉,矿床














农业,统计,灾害,工作,分析
模型,状况,利用,估算,温性
苜蓿,品种,区域,气候,适合
大气,算法,透过,得到,水汽
水体,提取,利用,谱间,关系法
反演,温度,地表,参数,传输
监测,生产,畜牧业,牧区,草原

监测,草原,植被,方法,重点
关联,方法,得到,样点,光谱法







进出口,计量,利用,整体,提供


























软件,设计模式,方法,信息,进行

分辨,投资,风险,组合,特征
容错性,模型,故障,故障诊断,优化
具有,故障,故障诊断,系统,容错性
风险,投资,时变,组合,动态

资产,风险,组合,模型,函数

方法,正态,扩散,进行,模型
结构,居民消费,经济,增长,关系


中药,研究,物质基础,导向,发展












发光,电致发光,器件,掺杂,特性
全彩,设计,实现,控制,驱动
分离器,倒梯形,反转,时间,制备

有序,导电,器件,层状,空穴
厚度,器件,结构,缓冲,效率
厚度,效率,阻挡层,有机,结构
器件,修饰,阴极,颗粒,材料
视频,图像,部分,显示,采集

















教学,微生物学,医学,课程,实验课
质粒,表达,构建,作用,重组
















催化剂,作出,研究,形成,科学家
杂化,材料,荧光,配合,稀土
负载,材料,金属,工业化,基介







冷却,淬火,速度,铝合金,型材
































信任,节点,机制,网络,缺乏


系统,锅炉,电站,应用,广义























学生,培养,社会,实施,思维能力


多媒体教学,存在,教学,发展,解决
















































土壤,水稻,麦秸,增加,群体
品种,农艺,性状,演变,早籼稻
群体,产量,结构,灌浆,叶面积
技术,研究,定量,氮素,方法
水稻,起身,氮肥,土壤,浓度
分蘖,调控,生长,表达,水稻
秧苗,增加,单株,密度,分蘖
温度,群体,植株,处理,穗肥
技术,促进,增产,水稻,高产














提取,保存,单头,方法,效果
试验,退火,引物,反应,方法
聚集,环境,条件,引起,分布























锆石,碎屑,大陆,地块,可能





精子,妊娠,冷冻,复苏,临床
临床,阴道,凝胶,疗效,蔗糖





精子,形态,胚胎,百分率,结局
发射,真空,获得,超高,测量









流量,测量,系数,压力,密度









太平洋,西北,风速,切变,垂直

台风,过程,涡旋,模拟,动能
预报,模型,强度,回归,改进




温度,光源,无极,特性,研究
无极,放电,提高,电压,等离子体

引起,隔离,系统,操作,开关



控制,优化,驱动,拓扑,死区
检测,残留,土壤,方法,液相
电化学,不锈钢,整体,增加,预拉应
苯醚,芦笋,土壤,消解,测定
天然气,应力,管道,发生,油田
涂层,材料,机制,行为,研究
涂层,腐蚀,表面,试验,产物
腐蚀,管线,运行,天然气,油田
腐蚀,涂层,基体,阻抗,浸泡
流板,螺旋,弓形,换热,管壳




复合,催化剂,沉积,吸附,测试

河口,改善,水质,水库,富营养化
模型,爆轰,理论,效应,炸药
烟草,正义,转基因,基因,反义








附睾,细胞,模型,糖尿病,大鼠
表达,局部,细胞,荧光,结构
细胞,附睾,模型,糖尿病,大鼠
治疗,患者,水平,高于,凝血
生菜,处理,通气,质量,单株
癫痫,模型,大鼠,孢子粉,作用
香蕉,根际,土壤,定殖,促生


宁波市,患病率,研究,患者,校正






耕地,污染,麦秸,强化,土壤
石油,降解,麦秸,添加,细菌

压迫,神经,刺激,诱发,行为


























光栅,光纤,变化,传感器,测量





铝合金,堆积,层间,工艺,复合
涂层,试验,铝合金,基材,基体
















广域网,分析,系统,资源,渲染











模型,应用,投资,决策,测度
新能源,投资,波动,公司股票,实证
测度,模型,方法,条件,运用
风险,业绩,公司,高管,过度
极值,序列,风险,动态,效应
企业,经营,应计,生命周期,决定
风险,铜期货,测度,序列,市场动态





































































构造,砾岩,沉积,玉门,速率
地块,特征,剩磁,地磁,分量
构造,活动,地震,震新,继承性

变形,研究,砾岩,高原,玉门



























涂层,隔热,房间,建筑,表面



单胞菌,排污口,月份,宁波,季节性
小鼠,鱼油,学习,迷宫,灌胃



















方法,基因组,提取,需要,计算机管理

结果,动物,试验,毒性,光毒




















反应,还原剂,需要,溶剂,芳烃
反应,化合物,配体,双烯烃,易得






污泥,含炭,容积,吸附,活化
制备,负载,载体,活性,粉煤灰
吸附,污泥,含炭,作用,利用
阻燃,方法,过程,工艺,浸渍
污泥,炭化,试验,去除,用量
含炭,活化剂,污泥,制备,实验
含碳,效果,进行,研究,污泥
制备,煅烧,样品,进行,表征





稠油,开采,战略,研究,技术


绿地,通量,影响,使用,吸收













电场,合成,直流,建筑物,线路
电场,进行,场强,输电,建筑物
电场,合成,直流,建筑物,线路
直流,离子流,电场,计算,地面
电场,进行,场强,输电,建筑物
电晕,放电,噪声,脉冲,产生
















研究,结合部,特性,模型,影响
脱焊,电路板,印刷,废弃,使用
结合部,整体,结构,等效,预紧
齿形,分析,进行,曲率,传动

隧道,作业,司机,卫生标准,国家

开关,信号,功能,交换,具有






















年份,地点,组合,高油,差异





基因,分子,可能,核心,小麦
基因,表达,分析,序列,抗病
基因,序列,小麦,获得,分析表明
品种,锈菌,含有,基因,可能
基因,抗病,抗叶锈,小麦,分离
基因,菌株,抗叶锈,苗期,小麦
小麦,基因,锈菌,功能,叶片
基因,分子,叶锈病,位于,小麦
基因,含有,可能,种质,抗病



















试验,观测,地面,水文,内容
反演,发展,方法,数据,模型

试验,参数,观测,数据,流域

波谱,地物,数据,试验,应用
检验,真实性,产品,观测,应用
































缺血性,中风,患者,演变,进行


节点,优先权,信任,模型,算法
网络,编码,延迟,降低,采用



节点,初始,传播,选取,信用



















类药物,检测,采用,流动,残留

测定,类药物,方法,色谱分析,采用





























尿路感染,急性,氧氟沙星,治疗,方案











南海,站位,海盆,盆地,数据
气候,系统,表层,变化,降温

























地层,天然气,超压,压力,充注
烃源,向斜,海相,层系,条件
油气藏,深层,油气,盐层,作用

特征,隆起,研究,构造,分布



















水分,灌溉,胁迫,利用效率,盐分
地区,农田,理论,途径,水资源
地下水,含量,大兴区,污染,水质


太湖,水样,污染,检出,超过















水稻,密度,变异,空间,研究


土壤,面积,栅格,类型,矢量图





水分,太阳能,系统,粮食,过程





生态,建筑,矿物,燃料,具有
水分,太阳能,系统,粮食,过程

下颌骨,缺损,修复,方法,个体化

功能,间隙,口腔,治疗,面积





芦荟,植株,基因,再生,检测
热力学,产物,分析,变化,阳极
区域,土壤,农田,污染,调查
植株,转基因,低温,基因,结果表明
海藻,芦荟,进行,基因,凝胶
脱硫,减排,烟气,燃料,包括
多糖,含量,测定,分析,凝胶


网络,区域,社会,集群,企业
知识,转移,研究,问题,战略
航空工业,知识,行业,管理,建立
合作,利润,博弈,条件,弹性

电源,接入,分布式,城市,偏差
概率,系统,评估,输电,能量

运行,发电机,策略,模式,预测
直流,系统,功率,波长,输电
预测,辐照,具有,序列,预测值
不确定性,风电场,风力,发电机,出力
家庭,平台,微源,管理系统,网用
气溶胶,反射率,尺度,大气,粒子
种植,面积,调查,影像,样方

覆盖,土地,浓度,信息,模拟
地区,变化,右旗,降水,阿拉善地区

降水,冰川,流域,气温,径流














测定,自由基,氧化,方法,抑制
过氧化,脂质,能够,自由基,疾病

测量,稀释,排气,系统,实现

氧化,中脂,食品,乳状液,体系


增加,水循环,水文,措施,水资源量
社会,建设,节水型,战略,举措
稳定性,农田,评价,系统,动态
方法,流域,采用,降雨,进行
补偿,生态,运行,建设,有所

景观,格局,梯度,流域,结构
社会,建设,节水型,模式,基本













焊接,电流,影响,变化,焊缝
摩擦,制动器,设计,指标,制动

























































心肌,损伤,活性,含量,观察
大鼠,心肌,苦参碱,组织,氧化












凋落,韶山,森林,淋滤,穿透






污染,德兴,程度,分析,评价

地下水,风险,不确定性,污染,评价
污染,德兴,评价,重金属,地区




























代数,构造,证明,得到,包络









球菌,测序,序列,试验,基因
分离,单胞菌,医院,统一,抗菌
杆菌,阳性,基因,临床,分离
氧氟沙星,治疗,肺炎,研究,参数





肠杆菌属,细菌,临床,医院,分离










发动机,航空,故障,飞机,振动
预测,振动,进行,汽轮机,方法
系统,事故,汽轮机,故障,汽阀

故障,轴承,信号,机组,方法









细胞,蛋白,表达,海生,凋亡











































数量,性状,单株,形态,资源
含量,可溶性,保持系,蛋白质,低于

















电晕,导线,海拔,起始,电压
电晕,损耗,计算,导线,条件


电晕,硅橡胶,电极,针板,系统
















































































电极,取代,伏安,电子,结合






























引发,共聚物,反应,参数,温度

















基因,显示,地区,遗传,分子
重量,消化道,长度,质量,变化
体表,种数,增加,物种,样方
变化,失水,节律,蒸发,颤抖
研究,特征,序列,线粒体,蛋白
绒鼠,消化道,禁食,物重,喂食
瘦素,血清,体重,驯化,摄入
高山,绒鼠,呼吸,肝脏,状态












































































研究,发展,生态,社会,系统




























































电动车,进行,控制器,调速,驱动

































数据,消费者,合理,发展,意义














































































































































轴向,方程组,单向,方程,振动
滚筒,载荷,动态,输送机,分析




































































































反应,硝基,部分,氨基,配位

含量,沉淀,苹果,酚类,浸提
自由基,苹果酒,苹果,测定,采用
配合,结构,性质,测定,呈现
廉价,人体,营养,应用,功能
比热容,化合物,爆速,爆压,计算
再生,菌体,原生质,预处理,形成
分子,草酸,化合物,性能,苯环
发酵,显示,热稳定性,果胶酶,底物

食物,组成,贡献,季节,分析
研究,鸟类,领域,鸟类学,中国
鸟类,生境,群落,活动,密度
食物,鹬类,粪便,比例,觅食





































































评价,交通,影响,物元,火车站
















放疗,鼻咽癌,鼻窦炎,方法,治疗
边缘,图像,方法,异源,像素点
微泡,靶向,静电,吸附,方法
放疗,鼻咽癌,患者,颌下腺,移位
患者,口干燥症,放疗,影响,鼻咽癌











萃取,测定,目标,时间,样品























流体,化带,斑岩,马头,钼矿
充填,岩浆,热液,岩相,流体

矿床,硫化物,马山,成矿,板块




















































积炭,重整,催化剂,水蒸汽,活性






利用,微波,数值,分量,信号



















































































胃镜,放置,营养,空肠,方法
结构,进行,金壳,破坏,电子显微镜
病灶,切除,进行,病理,活检
































合成,产物,形成,提供,反应
内容,真实性,检查,进行,组成
抗体,血小板,临床,荧光,免疫
抗体,血型,导致,抗原,临床



应力,寿命,水平,降低,叶片
应力,分析,进行,叶轮,工作






























挥发油,抗菌,化学,浓度,组成












































蛋白质,算法,策略,进化,非格
属性,依赖度,数据,胶合板,缺陷









































































组织,珠光体,铁素体,直读,增加
组织,带状,冲击韧性,夹杂,裂纹


























薄膜,掺杂,光学,性能,电学












































肝癌,改良,建立,模型,移植性
















产量,合理,铃重,果枝,长江









沉积物,管道,含量,重金属,小区

硝化,速度,碳源,影响,释放
吸附,动力学,初始,晶体结构,利用
过程,去除,工艺,硝化,研究
去除,速率,水量,硝化,变化












































颗粒,作为,结果表明,生物,领域


反应,回收,方式,循环,加料








地壳,地震,构造,华北,结构




染色,免疫,表达,痉挛,神经节








































加工,精选,种子,筛片,风筛
白化,审定,转绿,标记,云南省
转绿,白化,标记,叶色,苗期













房颤,消融,治疗,导管,医院
心电图,导联,室早,消融,结果










































空间,路网,发育,都市,距离
发展,城市群,边界,效应,介入
产业,区域,城市,发展,武汉市
个体,理性,博弈,特征,分析
农村,饮水,角度,困境,要素
优势,制造业,竞争,结构,武汉市
节点,分布,空间,网络,集聚
经济,环境,资源,结构,社会
经济,地理,地理学,校长,因子
区域,生态,产业,发展,空间







品种,审定,海南,江西,福建







































































细胞,线粒体,凋亡,膜电位,腹腔

反应器,光纤,降解,提高,克服




































收益,分享,比例,供应链,产量


退货,物流,企业,处理速度,制造商

投入,知识,资金,情况,合作
变质,因子,时间,系数,价格















问题,矩阵,求解,给定,有解














纤维素,化学,发展,现状,研究
黏剂,反应,自由基,过氧化,温度
波谱,确证,缩合,衍生物,得到
改性,乳液,进行,预处理,采用
植物油,发展,石油,合成,希望
反应,闭环,脱水,发生,表征
结构,元素,缩合,得到,化合物
成膜,过程,胶粘剂,水乳型,需要
改性,等离子体,物理,发展,填充
阻燃剂,阻燃,效果,复合,采用
芳醛,进行,脱水,酰基,分析

































算法,提出,矩阵,范数,情况

矩阵,说明,方法,算例,数值














轮状病毒,再生,暴露,回用,风险

















基因,表达,差异,芯片,功能









采石场,生态,问题,植物,存在
含量,阳离子,交换,土壤,阔叶林
森林,沉降,吸存,研究,影响

植被,土壤,类型,土层,动物
沉降,生物,植物,影响,森林
凋落,分解,养分,处理,释放




膨胀,石墨,材料,相变,复合
颜料,锆铁,陶瓷,形成,前驱

事件,预测,排队,长度,延误
目标,成像,振动,影响,数学
实验,设计,平台,项目,思路
奇偶,特性,交织,映射,实现



研究,主题,评价,领域,评估
分析法,内容,分析,基础,应用
知识,情报网络,人际,管理,研究
竞争力,核心,大学,知识,评价
研究生,条件,培养,提高,招生
创新,国家,创新能力,科研,高校

协同,企业,网络,竞争,获取
组织,非营利,学习型,维度,量表
集群,理论,研究,产业,文章
集群,升级,企业,跳板,产业
行为,营销,客户,关系,利益
企业,行为,社会,成为,市场
政策,公共政策,网络分析,建立,相关者
企业,竞争,理论,案例,获取

动态,复杂性,领域,理论,种群
线虫,群落,土壤,细菌,垂直
植物,物质,挥发性,作为,提高
锦鸡儿,类型,特征,表现,柠条
散射辐射,指数,太阳,变化,高度
生长,脂肪酸,幼苗,试验,棕榈
绒毡层,细胞,花药,孢子,发育

















化肥,减量,蔬菜,有机肥,配施


繁殖力,演化,能力,杂草,铵膦
种质,核心,遗传,多态性,资源

路由,服务,链路,时延,业务









喷射,金属,技术,沉积,液滴





















评价,适用性,获取,方法,指标

监控,平台,成本,无线网络,系统


发酵,实验,影响,优化,因子
菊芋,乙醇,生产,发酵,产量
部分,活性,萃取,抑制,结果表明
德兰,降解,多糖,研究,反应
菌株,属于,产酶,差异,发酵液
发酵,菌株,筛选,进行,效果
植物,基因,利用,寡糖,得到
油菜,寡糖,光合,幼苗,诱导


























试验,分析,桥墩,抗震,特性

风险,项目,承担风险,成本,交通

阻尼器,粘滞,设置,装置,约束

氮肥,籽粒,物质,降低,小麦
淀粉,粘度,土壤,支链,增施
澄清,明胶,荔枝,复合,皂土

籽粒,含量,小麦,蛋白质,处理


处理,籽粒,泰山,济麦,产量
水平,幼苗,小麦,提高,硫素
















糖尿病,心房,蛋白,小鼠,肌细胞
































菌株,细菌,测试,系统,抑菌
蛋白,菌株,弧菌,基因,研究
纯化,蛋白,弧菌,自由基,免疫
弧菌,引物,序列,海水,文库
弧菌,基因,溶血,菌株,杂交
蛋白,弧菌,免疫,还原酶,结果表明
菌株,脂肪酸,分析,组成,弧菌









哮喘,口服,特异性,时间,方法









复合,植入体,影响,压缩,界面
采用,膝关节,畸形,截骨,患者

血管,细胞,材料,支架,生物










深水,沉积,构造,地质,充填
组成,盆地,微量元素,江汉,物源

化石,南海,沉积环境,地层,组合
韩江,影响,珠江,研究,地区



设计,补偿,电流,芯片,应用



元素,大气,排放,浓度,点位
断裂,构造,重力,梯级,反映

方案,学生,实践,能力,课程
排放,颗粒,样品,耦合,电感
吸水,根系,速率,实际,模型
蒸渗仪,研究,影响,测量,蒸发

家庭,平台,智能,电视,技术


















污染,油菜,水平,含量,浓度
吸附,能力,红壤,离子,降低
磷素,土壤,分布,农田,土层
活性,土壤,施肥,红壤,下降
施肥,高产,产量,稻田,高产田
改良剂,施用,油菜,提高,土壤
土壤,养分,大麦,籽粒,氮素
生菜,污染,含量,土壤,利用
统计,系统,还有,测试,方法
紫花,水平,重金属,土壤,光叶
添加,堆肥,菌剂,处理,进程
实践,教学,专业,体系,工程








































材料,支架,内酯,黏附,内皮细胞
降解,共聚物,组织,血管,人工







有机,施肥,处理,钾肥,土壤
土壤,污染,活性,石灰,改良剂
土壤,差异,含量,组成,有着
蚯蚓,线虫,细菌,接种,花生
土壤,含量,组成,培养,增加
细菌,线虫,处理,接种,土壤
烤烟,施肥,后效,产值,互作



根系,分布,小麦,尿素,微域























城市群,空气,污染物,海风,地区
浓雾,时间,形成,数值,中尺度
光化学,污染,风向,进行,分析
气溶胶,辐射,光化学,引起,臭氧

季风,辐射,边界层,建立,过程
珠江三角洲,边界层,逆温,出现,环流
预报,过程,灰霾,能见度,达到
气溶胶,减小,探测,分析,上空
海风,出现,珠江口,资料,逆温
灰霾,气溶胶,大气,污染物,预报







方程,表面,宽度,分布,标度
泾河,沉积物,剖面,进行,气候
原油,热解,源岩,天然气,模拟实验
附子,提物,小鼠,试验,剂量
含量,元素,滞流,沉积层,颗粒

试验,观测,地面,水文,内容
科学,发展,环境,数据,服务
活检,肺炎,间质性,疾病,确诊

研究,试验,示范,开展,黑河
科学,数据,集成,数据中心,数据服务







节点,方法,电网,脆弱性,综合
微网,混合,成本,交直流,直流
直流电,源型,变频器,得到,调制
微网,研究,开发,分布式,结构
直流,滤波,电流,纹波,储能
运行,优化,建立,微网,模型
蓄电池,功率,系统,能量,策略
系统,储能,电池,构建,发电
