















NMDAR,Hal,Cloz,SPD,NR2B,concentration,inhibited,receptor,effects,subunit
精液,精子,质量,因素,精液量,男性,体育锻炼,生活,相关性,喝茶













































POM,纺丝,浓度,纤维,表面,电纺,对孔,成孔,聚甲醛,形貌

















电动机,转矩,变速器,发动机,仿真,经济性,燃油,测试,输出,自动
双模式,控制策略,变矩器,无级,变速,仿真,起步,性能,台架,1.3

退田,政府,移民,利益,基层,博弈,地方,Game,theory,湖所
旅游,山东省,时空,2004,2010,经济,差异,联系,城市,模型
易损性,堤垸,评价,洞庭湖区,方法,寻踪,洪涝,结果,差异,投影
水沙,湖盆,泥沙,形态,湖泊,淤积,互动,水位,1951,湖容





干旱,三口,河系,径流量,荆南,水文,2017,1985,2003,变化



pollen,AtVPS15,germination,yeast,plants,mutants,analysis,grains,kinase,plays













Ar,pressure,resistivity,cm,oxide,optical,films,deposited,increases,10





















rats,calcium,expression,urine,Calbindin,GHS,TRPV5,D28k,reabsorption,NC














H1N1,危重症,甲型,流感,回顾性,体健,20,随诊,治疗,支原体




患儿,阳性率,喘息,显著性,过敏,病毒检测,呼吸道,过敏原,婴幼儿,反复





















dome,rocks,Ma,ductile,Neoproterozoic,metamorphic,tectonic,Pengguan,granitic,intrusions
























































用地,建设,城镇,皖江,分析法,样本,需求,经济社会,利用,城市
宅基地,退出,改革,农村,制度,保障,机制,迁村,村企,整村
城市化,水资源,保护,过程,长江下游,地区,尤其,工业化,利用,城市
城市,县市,规模,转移,周围,省辖市,等级,中等城市,极化,空间
城镇化,生态,空间,敏感性,城市,边界,新型,评价,城市用地,SPSS
关联性,房地产,宏观经济,时间尺度,长期,相干,发展,短期,宏观调控,分析
住房价格,空间,梯度,格局,城市,北京市,中心,中心化,2007,13
城镇化,新型,推进,经济区,城乡,发展,途径,中原,大省,问题
房价,影响,模型,研究,31,1998,2008,空置率,城市,因素
僵尸,网络,模块,测试,程序,性能,Windows,编程技术,网路,整体

隐藏,木马,技术,防火墙,抗毁,瑞星,木马程序,线程,瑞星杀毒软件,三级跳


stretchability,thin,film,analytical,methods,developed,fabricate,highly,stretchable,electronics
吊装,车体,变压器,应力,螺栓,螺杆,单元,模拟,进行,受力










天线,阵列,高频,电磁,MLFMA,高效,雷达,优化,计算,参数












solutions,generalized,class,Jacobi,dimension,operators,paper,approach,study,equations
化合物,噻唑,抑制率,活性,二甲基,取代,测试表明,菌核病,16,二氢





Sr4Eu2Ti4Nb6O30,Sr5EuTi3Nb7O30,ferroelectric,transition,frequency,dielectric,ceramics,weak,temperature,cm2




微球,诱导,佐剂,OD450,620,小鼠,疫苗,应答,肝炎,抗原

















title,compound,thiadiazole,metastasis,lung,crystal,yl,chlorobenzoyl,urea,OSCl
企业动态,创业,初创,绩效,企业,研究,270,孵化器,建模,能力
模式,领导力,领导,企业家,女性,256,人本型,背景,探索性,透彻




共同体,层面,实践,学习,组织,团队,学习型,提出,渊源,系统地











战略,企业,演变,成长,以新,强调,环境,能力,因素,动因
模式,核心,构建,服务,渐进式,能力,服务商,企业,案例,转型
变革,营销,空降兵,绩效,如何,空降,企业,驱动,1995,2004
演变,转型,事项,行为,文化背景,生命周期,过程,结果表明,分析法,与非
制造,服务,企业,西方,战略,服务提供商,我国,追溯,启示,历程
污名,维度,行业,感知,消费者,国内,形象,因子分析,德尔菲,涉入
维度,合法性,策略,调节作用,企业,行为,反应时间,交互作用,情境,因素

绩效,企业,互动关系,社会,经济,提高,高管,触发器,互为因果,转换器
企业,制造,服务,悖论,西方,绩效,战略,学者,现象,服务提供商
事项,整合,绩效,组织,非市场,合法性,经营,环境,前摄,性反应
















学术,聘任,教师,职业,高校教师,根据,制度,评议,设计,要求
聘任制,人事管理,改革,高校,学术,权力,完善,人事制度,科学管理,规章制度
研究,院校,关系,认识,实践,处理,中立性,总体性,好量,与质
学术,聘任制,高校教师,为本,大学,论题,立身,终身,公正,教师
教育,关系,分化,主体,行政化,社会转型,转型期,政治化,受教育者,行政命令
评估,教学评估,开展,高等教育,质量,教育,初显,教学质量,全面提高,妥善处理
文科,阶段,高水平,起步,影响力,建设,不高,学科,学者,华中科技大学
教育,博雅,住宿,大学生,职业,学生宿舍,形态,潜移默化,漠视,专业知识
权利,高等学校,公立,高等教育,运行,高校,法人,权力,配置,失范
科研,教学,教师,促进作用,客观主义,691,建构主义,维度,院系,制度


































机油,样本,鉴别,光谱,成分,品种,判别分析,30,近红外,可见


















compressional,stress,2008,Wenchuan,stations,WES,FMSs,roughly,direction,Longmenshan
Ordos,block,Tibetan,plateau,fault,splitting,margin,boundary,zones,eastward












































genes,tomato,family,Dof,SlDof,analysis,proteins,transcription,factors,study












辖区,转让,地方,绩效,民营企业,国有企业,资源,政府,地区,样本
关联,政治,企业,行为,研究,热点问题,综述,影响,动机,回顾














bis,vinylpyridine,compounds,biphenyl,photon,fluorescence,L2,L3,yields,absorption













fatigue,heat,treated,rolled,12Gd,3Y,0.5,Zr,alloy,counterpart





稻鱼,hm,系统,COD,TP,水体,生产力,产量,RF,田鱼
稻田,稻鱼,cm,水稻,养鱼,蓄水,水源,水深,深度,田间试验
沟坑,弥补,沟型,十字,水稻,边际效应,产量,模式,环沟,直沟
单株,千屈,美人蕉,生物量,植物,湿地,显著,部分,水烛,薏苡














SC5b,GMCs,NF,PCNA,FN,PDTC,SMA,Bp65,表达,免疫组化








避雷器,雷电,银川,保护,侵入,PSCAD,EMTDC,750kV,330kV,杆塔
arrester,voltage,varistor,method,potential,distribution,gradient,ZnO,power,circuit
谐振,直流,输电,系统,阻抗,线路,长度,低频,回路,频率
电晕,过电压,操作,冲击,线路,导线,试验,极性,断路器,电力系统


压电,应变,阶梯,能量,结构,回收,输出,装置,悬臂梁,梁对







































烟叶,烘烤,初烤,指标,特性,素质,物理,疏松,糟片,质量











strain,DXS,gene,bioleaching,ferrooxidans,pH,iron,similarity,sequence,iro
浸出,Acidithiobacillus,元素,群落,活性,氧化,ferrooxidans,Leptospirillum,ferriphilum,thiooxidans



































































土壤,生物量,围封,放牧,土壤有机,草地,容重,禁牧,全氮,含水量
蒸散,mm,草地,退化,生长,2006,2008,季日,季为,降水量
















疾病,中国,健康,序列,基因,遗传,医学,具有,差异,药物










发生率,球菌,杆菌,耐药,敏感,革兰,病原菌,替加,环素,分别

















HIV,11,胡桐素,去甲,小鼠,逆转录酶,灌胃,药为,min,收率
治理,矿山,地质,环境,灾害,矿渣,流域,豫西,方案,生态环境




























辐射,有效,高原,地表,融冻,Rk,青藏高原,积温,冻结,降温
浑浊度,五道,大气,大气质量,江河源,1993,09,1999,辐射,观测


感热,热平衡,潜热,趋势,通量,五道,土壤,地面,系数,方程










仿真,CISE,建模,一体化,HLA,MDA,等作,详细描述,技术开发,分析
勘探,油气,海洋,阶段,评价,海上,探明,全球,初步,34%
CO2,埋存,全球,高效益,地下,21,低且,控制目标,储集层,油气藏
产能,多底,公式,预测,国内外,学者,水平井,从多底,对多底,优缺点
钻杆,22,mm,工艺,机加工,AR,O型,四臂,锚杆,钻车



































































ANFIS,performance,system,reversibly,cooling,tower,RUCT,predicted,adaptive,neuro














samples,communities,sites,RAPD,DNA,morphological,genetic,sampling,time,scales
















关附甲素,盐酸,Beagle,血浆,灌胃,4mg,ng,11.2,浓度,采用
组学,毒性,代谢,安全性,中药,探讨,技术,研究进展,质谱,计量学


肿瘤,UGT1A9,肝细胞,细胞,人肝,霉酚酸,组织,代谢,表达,细胞株

PEG,相变,PCMs,SiO2,ss,聚乙二醇,二氧化硅,分子,温度,质量
ASCT,对照组,患者,0.000,统计学,健康,差异,病例,质量,意义
























































subgroups,finite,paper,discusses,influence,minimal,structure,structures,maximal,PSC


prove,finite,elements,center,conjugate,abelian





ALI,活性,西地那非,LPS,含量,匀浆,明显增加,肺干,湿重,BALF































Wick,product,renormalization,random,variables,framework,Wiener,paper,surveys,abstract









adpA,Streptomyces,morphological,differentiation,avermitilis,strain,production,disruptant,wild,type





























Ma,年龄,等时线,花岗岩,粤北,钨矿,成矿,南岭,样品,测定
流体,包裹,骑田岭,超大型,花岗岩,熔融,盐度,芙蓉,矿床,A型














灾害,农业,统计,我国,工作,大力加强,指标体系,分析,规范性,问题
温性,模型,状况,草原,利用,荒漠,估算,精度,产草量,变量
苜蓿,区域,品种,适合,气候,气候区划,种植,国土,我国,总面积
大气,透过,辐射率,算法,水汽,ASTER,MODIS,反演,含量,精度
水体,提取,关系法,归一化,水是,谱间,MOD,植被指数,NDVI,但谱间
反演,MODIS,波段,地表,参数,温度,传输,辐射,获取,31
监测,遥感,牧区,MODIS,AMSR,雪灾,积雪,畜牧业,草原,微波遥感

遥感,监测,草原,植被,方法,重点,我国,农业部,局限性,标准化
植被指数,关联,EVI,MSAVI,OSAVI,绿度,MODIS,光谱法,分层,差别







进出口,2006,11,2007,经济模型,广大读者,我国,开局,指在,此文


























设计模式,分簇,软件,方法,理解,本文,信息,指导,程序,辅助

分辨,时间尺度,风险,组合,高频,金融资产,特征,投资,不同,协方差
NN,容错性,ACOA,故障诊断,模型,故障,优化,测试表明,泛化,蚁群
NN,容错性,ACOA,algorithm,GA,诊断模型,容错,故障诊断,优化,故障
高阶,风险,时变,动态,组合,GARCHSK,Taylor,遗传算法,效用函数,推导

Copula,函数,多元,ES,组合,资产,风险,模型,均值,正态

正态,高斯,方法,似然,CM,扩散,模型,离散,函数,Eu
协整,1980,居民消费,结构,均衡,关系,增长,1952,2004,点为


中药,研究,物质基础,导向,新思路,难点,化学物质,表征,组分,活性












ACY,电致发光,PVK,掺杂,器件,发光,Alq3,光谱,特性,发射
全彩,OLED,LPC2138,128,驱动,数据信号,驱动程序,接口技术,ARM7,微控制器
分离器,倒梯形,曝光,反转,烘烤,时间,光刻胶,测试表明,温度,涂胶

PEDOT,AA,ITO,有序,MEH,PPV,导电,多层,器件,空穴
nm,厚度,Bphen,效率,CuPc,器件,缓冲,10,ITO,PEDOT
nm,Alq3,厚度,效率,CuPc,OPV,阻挡层,ITO,20,C60
修饰,器件,阴极,Cs2CO3,graphene,ZnO,PCE,倒置,提高,纳米
视频,图像,采集,显示,部分,实现,FPGA,ITU,BT.656,YCrCb

















教学,实验课,微生物学,课程,医学,学科,教学效果,教学改革,横向联系,督导组
质粒,pRe,dyn,PCR,测序,表达,真核,dynamitin,免疫荧光,构建











plasma,operation,components,design,safe,active,water,cooling,facing,PFCs




催化剂,聚合物,有机,固载,手性,高聚物,共聚,简要,研究,形成
Eu,Phen,2Cl3,MCM,41,杂化,荧光,配合,分子筛,孔道
负载,基介孔,材料,催化剂,金属,高活性,介孔,硅基,综述,简要







MPa,铝合金,型材,6061,6005,冷却,淬火,速度,在线,SEM
logarithmic,decrement,strain,temperature,treatment,independent,amplitude,dependence,step,increasing


reflectance,nitrogen,rates,population,densities,ages,seedling,water,regimes,rice




























P2P,信任,节点,模型,网络,缺乏,机制,信任度,更加,有效
dynamics,simulation,PeerMD,P2P,molecular,Web,based,services,service,protocol

锅炉,电站,系统,先进,控制算法,风烟,及大,OPC,DCS,数据交换











hosts,organic,guests,hybrid,materials,inorganic,sensitizer,based,luminescence,LTbH











教学资源,教学改革,学生,教学质量,教学内容,思维能力,素质教育,教学方法,胚胎学,高素质


多媒体教学,教学,医学院校,不足,多方位,教学质量,良好效果,多媒体,存在,弊端

























crawling,OTIE,focused,frontier,algorithm,topical,resource,uncrawled,content,analysis













linear,filter,proposed,dissipative,filtering,time,systems,system,criterion,matrices

liver,lobe,volume,recipients,graft,donors,left,adult,grafts,living
donors,liver,lobe,volume,safety,donor,LDLT,grafts,included,hepatic





还田,麦秸,对照,土壤,水稻,全量,矿质氮,速效,群体,增加
品种,每穗,粒数,农艺,分析表明,性状,生物量,早籼稻,演变,收获
hm,叶面积,超高产,12.00,群体,灌浆,大于,颖花,产量,结实
定量,施氮,精确,氮素,技术,测定,水稻,研究,需氮量,还田归为
起身,氮肥,水稻,移栽,氮素,土壤,浓度,根际,ha,利用率
分蘖,CTK,调控,OsTB1,OsD3,OsD10,OsD27,表达,生长,IAA
秧苗,分蘖,单株,密度,苗床,效应,施氮,秧龄,出叶,带蘖
穗肥,温度,群体,施量,中肥,穗叶,植株,处理,冠层,显著
RP,生态区,增产,栽培技术,穗肥,颖花,2008,2009,大穗,技术














DNA,单头,提取,Chelex,100,保存,酒精,标本,方法,玻片
min,DNA,引物,退火,食粉,1.0,mol,94,72,浓度
新小绥,聚集,巴氏,当样,2.89,密度,11,Taylor,Iwao,2.125











solid,intensity,method,disturbance,preparation,semi,factors,morphology,dendritic,phase
FE,blade,forging,based,models,deformation,simulation,Ti,6Al,4V







Grenvillian,Neoproterozoic,rocks,Cathaysia,Block,ages,meta,sediments,zircon,sedimentary

Talisayi,Formation,environment,ratios,water,region,glacigenic,Ediacaran,glacial,sediments
Grenville,锆石,元古代,Ga,Gondwana,碎屑,地块,大陆,聚合,1.0


soil,sorption,norfloxacin,soils,SOM,amount,increased,removed,Cu2,pH


精子,胚胎,冷冻,妊娠,ICSI,34,246,例单,睾丸,临床
治愈率,凝胶,32,组和,蔗糖,阴道,用药,细菌性,剂量,安慰剂





精子,百分率,IVF,形态,受精率,正常,胚胎,显著性,5%,10%
发射,超高,显微镜,真空,测量,研制,点源,碳纳米管,和场,换样









流量,两相,系数,弗鲁德数,流量计,参数,密度,湿气,测量,压力









TC,切变,太平洋,风速,西北,垂直,源地,30,TSTY,生成
increase,surface,wind,parameterization,speed,intensity,eyewall,sea,winds,drag
台风,拉克,天鹅,涡旋,水汽,过程,动能,模拟,消亡,三维
CLIPER,TC,预报,模型,强度,PLS,回归,改进,统计,绝对误差




无极,光效,温度,荧光粉,灯内,冷端,特性,散热,蒸气,光源
无极,趋于稳定,放电,先升后,光照度,而后,阻抗,电压,电流,先降

GIS,VFTO,超高压,分析方法,变压器,开关,隔离,计算,介绍,操作



拓扑,镇流器,开关损耗,死区,无极,驱动,优化,电路,控制,提高
甘蓝,MS,鱼藤酮,检测,QuEChERS,土壤,残留,添加,0.002,标准偏差
S30403,电化学,不锈钢,25,196,2S,应变,变形,条件,强化
芦笋,苯醚,甲环唑,标准偏差,回收率,添加,消解,土壤,之间,半衰期
X65,H2S,接头,天然气,应力,焊接,外输,SSCC,管道,敷设
涂层,材料,大气环境,失效,干热,沙尘,温差,机制,研究进展,条件
涂层,腐蚀,中性盐,合金,Q235,表面,致密,孔隙率,腐蚀电流,产物
腐蚀,管线,焊缝,X65,均匀,天然气,运行,速率,油田,海底
涂层,腐蚀,基体,阻抗,浸泡,扫描电镜,碳网,电偶,Zn,明显降低
折流板,换热器,螺旋,压降,管壳,换热,弓形,相同,壳径,系数




Ag,BiOX,光催化,复合,光催化剂,可见光,Cl,Br,X射线,PL

富营养化,河口,水质,水库,改善,水体,生态,治理,浮床,外源
LADM,模型,爆轰,CJ,ZND,输运,终点,炸药,理论,原理
CHS,烟草,反义,基因,转基因,正义,类黄酮,本明,花色,花瓣








对照组,附睾,Cyt,0.05,灵芝,模型,大鼠,caspase,细胞,糖尿病
pSIREN,MRP1,siRNA1,siRNA2,siRNA3,MRP1T,HEK293,表达,siRNAs,pEGFP
对照组,附睾,Cyt,0.05,mol,大鼠,模型,线粒体,灵芝,糖尿病
TF,APL,MP,AML,pg,患者,0.05,治疗,DIC,CR
生菜,通气,00,单株,可溶性,处理,品质,水培,含量,水培法
癫痫,孢子粉,灵芝,大鼠,模型,NT,cadherin,对照组,组和,0.01
E7,根际定殖,香蕉,促生,30,37,土壤,显著,土壤温度,23


AR,患病率,宁波市,永州市,4.10%,并发,校正,抽取,哮喘,调查
optical,transmission,single,slit,structure,grooves,depth,Numerical,simulation,performed





返盐,麦秸,耕地,洗盐,耕作层,毛细,污染,土壤,分数,修复
降解,麦秸,添加,石油,土壤,真菌,25,细菌,生物量,耕地

DRG,多节,压迫,诱发,大鼠,慢性,刺激,神经,背根,根性


























索力,拉索,光栅,光纤,传感器,网络系统,测量,测量方法,拉力,传感





层间,MIG,零件,铝合金,焊接,堆积,工艺,墙体,热源,成形
涂层,孔隙率,基材,试验,基体,铝合金,中性盐,扫描电镜,嵌合,阴极保护
















广域网,动漫,渲染,分析,资源,分布式,详述,异构,系统,架构











模型,LBPT,SA,BPT,测度,线性规划,前沿,期望,决策,追求
BV,GARCH,WTI,非对称,新能源,原油期货,元于,外溢,模型,波动
测度,ES,模型,运用,GARCH,Moment,VaR,残差,参数,带宽
高管,风险,自信,过度,敏感度,薪酬,厌恶,报酬,业绩,系统
极值,VaR,序列,ARMA,动态,风险,传染性,传染,强度,运用
应计,生命周期,演进,经营,企业,决策,本文,决定,不同,研究
铜期货,测度,市场动态,风险,运用,序列,EVT,残差,伦敦,传导






set,data,observations,Cook,real,type,models,influence,model,fitting










































sex,0.05,female,F1,F2,F4,F5,control,Fadrozole,reversed



















构造,玉门,砾岩,沉积,气候,速率,2Ma,东南,北缘,诱因
二叠,地块,剩磁,塔里木,柴达木,地磁,纬度,分量,世古,95
构造,同震,活动,地震,初步,Ms8.0,发震,地质灾害,继承性,地震波
uplift,growth,strata,Xiaganchaigou,sedimentation,rates,Ma,increased,Eocene,Oligocene
隆升,Ma,变形,3.58,榆木,玉门,砾岩,山地区,高原,构造



























隔热,涂层,制冷量,房间,空调,表面,负荷,降低,室内,夏季



单胞菌,排污口,含量,月份,10,Pseudomonas,季节性,宁波,测序,沿海
小鼠,鱼油,对照组,灌胃,衰老,迷宫,剂量,半乳糖,MC,1000mg








nanotubes,doping,doped,electron,phonon,carbon,Raman,pristine,induced,band
resistive,switching,memories,applications,memory,Resistive,random,access,RRAM,considered









DNA,基因组,cDNA,方法,计算机管理,份用,用该,PCR,样本,简便

MTT,体外,结果,光毒,毒性,试验,动物,中性,评价,3T3




















Pd,还原剂,碘代,II,芳烃,反应,溶剂,还原作用,贫电,Ullmann
反应,Pd,OAc,Heck,equiv,芳烃,丙酮,催化,溶剂,化合物






污泥,含炭,吸附剂,吸附,化学活化,活化,容积,活化剂,ZnCl2,质量
TiO2,纳米,光催化剂,负载,微珠,载体,活性,聚苯乙烯,粉煤灰,制备
吸附,含炭,Hg0,污泥,吸附剂,作用,活性炭,选定,入口,浓度
阻燃,泡沫塑料,PS,聚苯乙烯,EPS,挤塑,XPS,模塑,优缺点,包覆
炭化,污泥,吸附剂,Pb2,试验,废水,去除,吸附,用量,化学活化
吸附剂,含炭,活化剂,ZnCl2,热解,制备,污泥,化学活化,450,H2SO4
吸附剂,ZnCl2,含碳,活化,化学活化,污水净化,3mol,450,1.5,固液
TiO2,锐钛矿,催化活性,煅烧,纳米,样品,制备,橙为,XRD,TEM





稠油,及超,热采,开采,乐安,可采储量,资源量,探明,油田,250


CO2,绿地,通量,FCO2,m2,辐射,大气,温度,0.100,LAI

Brownian,motion,fractional,Hurst,applying,strong,local,nondeterminism,prove,forms











电场,Deutsch,直流,合成,计算方法,建筑物,线路,假设,计算,基于
电场,输电,计算精度,建筑物,场强,线下,直流,进行,合成,存在
电场,Deutsch,直流,合成,计算方法,建筑物,线路,假设,计算,基于
离子流,直流,电场,计算,模拟,合成,测量,模型,房屋,一个三维
电场,输电,计算精度,建筑物,场强,线下,直流,进行,合成,存在
电晕,放电,噪声,脉冲,时域,正负极,产生,特性,电流,一一对应






adenosine,biosensor,aptamer,probe,1.0,10,electrode,current,response,mol







colloidal,spheres,surfactant,size,distribution,narrow,polymer,amount,method,azo

结合部,栓接,特性,研究,非线性,机床,机理,模型,总结,开展
脱焊,电路板,废弃,印刷,电子元件,回收,焊料,损坏率,焊锡,设备
结合部,预紧,等效,栓接,整体,刚度,阻尼,结构,法向,力下
齿形,曲率,分析,齿轮,二齿,活齿,MATLAB,进行,凸轮,激波

隧道,作业,卫生标准,捣固,固车,司机,大修,施工,噪声,浓度

开关,节点,交换,信号,功能,互连,偏振,直通,具有,能量






















组合,年份,高油,地点,差异,不同,1.00%,油分,最小,含量





Lr34,抗叶锈,Lr1,基因,Lr32,种质,含有,Lr16,Lr26,抗性
TDFs,基因,TcLr38,表达,抗病,锈菌,片段,小麦,激酶,序列
基因,序列,cDNA,NBS,LRR,小麦,叶锈病,锈菌,TcLr19,PCR
山羊草,17,含有,基因,锈菌,Lr1,Lr9,Lr19,Lr21,Lr24
基因,抗病,叶锈病,抗叶锈,SSR,LrY192,标记,小麦,山羊草,染色体
基因,山羊草,抗叶锈,菌株,叶锈病,17,15,苗期,推导,材料
protein,锈菌,测序,小麦,基因,EST,序列,蛋白,文库,克隆
叶锈病,TcLr2c,Thatcher,Lr2c,基因,2D,215,F2,SSR,小麦
含有,基因,Lr34,Lr1,种质,28,Lr2b,可能,抗病,叶锈病



















试验,中游,观测,水文过程,成像仪,水文,同步,加密,干旱区,地面
反演,遥感,方法,光谱,观测,模型,荧光,发展,利用,估算

遥感,试验,反演,观测,黑河,参数,流域,数据,高质量,应用

波谱,地物,数据,测绘,数据库,试验,波段,遥感,测量,本底
遥感,真实性,检验,产品,观测,星机,体系,国家标准,应用,产品质量
































风痰,缺血性,急性期,中风,证侯,演变,患者,结论,中风病,占有


节点,优先权,信任,模型,算法,异常,PeerTrust,EigenTrust,破坏活动,串谋
Mesh,EMSM,不公平性,信道,编码,延迟,网络,组播,流媒体,用户



节点,时延,选取,初始,影响力,信用,算法,传播,time,delay



















喹诺酮,mm,0.03,检测,类药物,缓冲液,限为,乙腈,VP,ODS

喹诺酮,测定,类药物,五种,磷酸二氢钠,限为,缓冲溶液,VP,ODS,0.05





granulites,peak,Amdo,GPa,pressure,garnet,basement,plagioclase,stages,crustal


















channel,literal,strick,slip,fault,Nujiang,region,China,Burma,border




