

























模型,爆轰,理论,效应,炸药,输运,方面,确定,原理,显示
烟草,正义,转基因,基因,反义,转化,试材,花瓣,颜色,花色








附睾,细胞,模型,糖尿病,大鼠,含量,对照组,线粒体,孢子粉,组织
表达,局部,细胞,荧光,结构,载体,质粒,产生,分析表明,鉴定
细胞,附睾,模型,糖尿病,大鼠,线粒体,对照组,孢子粉,高脂,高糖
治疗,患者,水平,高于,凝血,检测,并发,急性,白血病,病情
生菜,处理,通气,质量,单株,筛选,适合,提高,可溶性,品质
癫痫,模型,大鼠,孢子粉,作用,实验,含量,皮质,动物,制作
香蕉,根际,土壤,定殖,促生,作用,发挥,提高,数量,红薯


宁波市,患病率,研究,患者,校正,调查,方法,高于,哮喘,检查






耕地,污染,麦秸,强化,土壤,修复,耕作层,返盐,导致,油盐
石油,降解,麦秸,添加,细菌,耕地,污染,土壤,真菌,修复

压迫,神经,刺激,诱发,行为,机械,大鼠,反应,机械性,模型


























光栅,光纤,变化,传感器,测量,关系,网络系统,传感,介绍,方法





铝合金,堆积,层间,工艺,复合,焊接,进行,组织,热源,激光
涂层,试验,铝合金,基材,基体,表面,采用,组织,衍射,扫描电镜
















广域网,分析,系统,资源,渲染,动漫,研究,异构,进行,架构











模型,应用,投资,决策,测度,追求,风险,转换,得到,期望
新能源,投资,波动,公司股票,实证,资产,组合,原油期货,提供,存在
测度,模型,方法,条件,运用,估计,参数,残差,标准,序列
风险,业绩,公司,高管,过度,系统,自信,薪酬,厌恶,发现
极值,序列,风险,动态,效应,强度,传染,传染性,股市,具有
企业,经营,应计,生命周期,决定,特征,演进,研究,决策,具有
风险,铜期货,测度,序列,市场动态,存在,上海,运用,伦敦,效应





































































构造,砾岩,沉积,玉门,速率,气候,西北,东南,祁连山,地层
地块,特征,剩磁,地磁,分量,可能,高温,认为,世古,结果
构造,活动,地震,震新,继承性,震撼,亚洲,中国,断裂,调查

变形,研究,砾岩,高原,玉门,构造,榆木,过程,青藏高原,发育



























涂层,隔热,房间,建筑,表面,节能,空调,模型,降低,北京



单胞菌,排污口,月份,宁波,季节性,有关,数量,焦磷酸,测序,存在
小鼠,鱼油,学习,迷宫,灌胃,剂量,平台,记忆,增加,实验



















方法,基因组,提取,需要,计算机管理,反应,份用,保存,裂解,合成

结果,动物,试验,毒性,光毒,评价,阳性,方法,实验,判断




















反应,还原剂,需要,溶剂,芳烃,基团,碘代,贫电,电子,机理
反应,化合物,配体,双烯烃,易得,合成,高度,应用,选择性,对称






污泥,含炭,容积,吸附,活化,选定,实验,质量,炭化,性能
制备,负载,载体,活性,粉煤灰,实验,微珠,矿化,接枝,扫描
吸附,污泥,含炭,作用,利用,物理,采用,改进,反应,污染物
阻燃,方法,过程,工艺,浸渍,包覆,聚合,进行,优缺点,重要性
污泥,炭化,试验,去除,用量,质量,浓度,效果,吸附,脱水
含炭,活化剂,污泥,制备,实验,采用,性能,热解,原料,溶液
含碳,效果,进行,研究,污泥,活化,固液,时间,应用,制得
制备,煅烧,样品,进行,表征,催化活性,采用,凝胶,考察,锐钛矿





稠油,开采,战略,研究,技术,占据,油田,能源,国家,地位


绿地,通量,影响,使用,吸收,温度,公园,大气,辐射,海淀













电场,合成,直流,建筑物,线路,存在,计算,计算方法,假设,模型
电场,进行,场强,输电,建筑物,表面,计算精度,存在,合成,日益
电场,合成,直流,建筑物,线路,存在,计算,计算方法,假设,模型
直流,离子流,电场,计算,地面,模拟,合成,模型,进行,房屋
电场,进行,场强,输电,建筑物,表面,计算精度,存在,合成,日益
电晕,放电,噪声,脉冲,产生,可听,时域,特性,正负极,电流
















研究,结合部,特性,模型,影响,总结,建立,开展,因素,进行
脱焊,电路板,印刷,废弃,使用,设备,电子元件,尘埃,机械,烟气
结合部,整体,结构,等效,预紧,建立,模型,特性,法向,固有频率
齿形,分析,进行,曲率,传动,中心,原理,摆动,齿轮,活齿

隧道,作业,司机,卫生标准,国家,施工,捣固,超过,因素,噪声

开关,信号,功能,交换,具有,节点,设计,直通,偏振,特点






















年份,地点,组合,高油,差异,含量,变化,稳定性,性状,品质





基因,分子,可能,核心,小麦,含有,种质,抗叶锈,抗性,鉴定
基因,表达,分析,序列,抗病,小麦,引物,相关,可能,激酶
基因,序列,小麦,获得,分析表明,叶锈病,锈菌,典型,符合,抗病
品种,锈菌,含有,基因,可能,进行,鉴定,小麦,材料,毒力
基因,抗病,抗叶锈,小麦,分离,可能,染色体,图谱,含有,叶锈病
基因,菌株,抗叶锈,苗期,小麦,叶锈病,推导,表现,免疫,来自
小麦,基因,锈菌,功能,叶片,诱导,进行,测序,序列,抗病
基因,分子,叶锈病,位于,小麦,目的,染色体,材料,验证,群体
基因,含有,可能,种质,抗病,进行,核心,成株,甘肃,小麦



















试验,观测,地面,水文,内容,航空,加密,研究,成像仪,介绍
反演,发展,方法,数据,模型,利用,信息,方面,光谱,观测

试验,参数,观测,数据,流域,黑河,反演,应用,综合,水文

波谱,地物,数据,试验,应用,测量,测绘,数据库,波段,典型
检验,真实性,产品,观测,应用,技术,发展,尺度,体系,定量
































缺血性,中风,患者,演变,进行,基本,急性期,证侯,发生,描述


节点,优先权,信任,模型,算法,不合理,推荐,分配,情况,实际
网络,编码,延迟,降低,采用,策略,信道,节点,用户,质量



节点,初始,传播,选取,信用,影响力,时延,概率,约束,算法



















类药物,检测,采用,流动,残留,提供,萃取,样品,回收率,范围

测定,类药物,方法,色谱分析,采用,缓冲溶液,限为,运用,流动,检测





























尿路感染,急性,氧氟沙星,治疗,方案,社区,疗效,发作,检查,实验室











南海,站位,海盆,盆地,数据,确定,张裂,形成,基底,钻探
气候,系统,表层,变化,降温,南北,南海,西太平洋,生物,足够

























地层,天然气,超压,压力,充注,流体,孔隙,原始,增压,演化
烃源,向斜,海相,层系,条件,龙马,系统,层位,龙潭,页岩
油气藏,深层,油气,盐层,作用,圈闭,系统,成藏,烃源,泥岩

特征,隆起,研究,构造,分布,油气,原油,演化,形成,烃源



















水分,灌溉,胁迫,利用效率,盐分,开展,咸水,造成,能够,耗水
地区,农田,理论,途径,水资源,黄淮海平原,缓解,基础,水分,提出
地下水,含量,大兴区,污染,水质,生活,污水,包括,浅层,工业废水


太湖,水样,污染,检出,超过,检测,河网,特点,质量,浓度















水稻,密度,变异,空间,研究,土壤,中国,特征,储量,循环


土壤,面积,栅格,类型,矢量图,分类,变小,矢量,利用,尺度





水分,太阳能,系统,粮食,过程,适用,技术,结果表明,表面,就仓





生态,建筑,矿物,燃料,具有,社会,节能,发展,重视,运输
水分,太阳能,系统,粮食,过程,适用,技术,结果表明,表面,就仓

下颌骨,缺损,修复,方法,个体化,移植,部分,节段性,支架,成骨

功能,间隙,口腔,治疗,面积,下颌前突,联合,正颌,对照组,正畸





芦荟,植株,基因,再生,检测,进行,转基因,转化,抗性,筛选
热力学,产物,分析,变化,阳极,硫化,结果,粒径,粉末,强度
区域,土壤,农田,污染,调查,进行,特征,结果表明,因子,芳烃
植株,转基因,低温,基因,结果表明,抗性,芦荟,检测,目的,培养基
海藻,芦荟,进行,基因,凝胶,植物,含量,建立,微量,检测
脱硫,减排,烟气,燃料,包括,措施,炼化,电厂,工艺,降低
多糖,含量,测定,分析,凝胶,检测,甘露,混合物,表征,表明


网络,区域,社会,集群,企业,机制,作用,资本,转变,产业
知识,转移,研究,问题,战略,相关,总结,提出,选择,模式
航空工业,知识,行业,管理,建立,中国,创新能力,自主,组织,信任
合作,利润,博弈,条件,弹性,分配,供应链,双方,获得,分配机制

电源,接入,分布式,城市,偏差,影响,电压,天津,城区,典型
概率,系统,评估,输电,能量,管理系统,动态,进行,人员,计算

运行,发电机,策略,模式,预测,电网,采用,淡化,海水,系统
直流,系统,功率,波长,输电,波动,闭锁,模型,响应,暂态
预测,辐照,具有,序列,预测值,信号,分解,方法,模型,速度
不确定性,风电场,风力,发电机,出力,运行,区间,风速,影响,分析
家庭,平台,微源,管理系统,网用,智能,环境,用户,用电,信息
气溶胶,反射率,尺度,大气,粒子,水库,光谱,资料,引导,水面
种植,面积,调查,影像,样方,分类,地面,作物,数据,估测

覆盖,土地,浓度,信息,模拟,民勤,变化,模式,进行,影响
地区,变化,右旗,降水,阿拉善地区,相关,趋势,季节,进行,关系

降水,冰川,流域,气温,径流,变化,消融,模型,绒布,实测














测定,自由基,氧化,方法,抑制,结果,表征,清除,脂质,评价
过氧化,脂质,能够,自由基,疾病,形式,积累,生物体,中间体,产生

测量,稀释,排气,系统,实现,流量,油耗,用于,调节,浓度

氧化,中脂,食品,乳状液,体系,综述,油脂,影响,机理,油滴


增加,水循环,水文,措施,水资源量,过程,流域,地表,土壤,效应
社会,建设,节水型,战略,举措,问题,取得,存在,方面,需求
稳定性,农田,评价,系统,动态,过程,模型,区域,形成,分析
方法,流域,采用,降雨,进行,模拟,降雨量,插值,空间,计算
补偿,生态,运行,建设,有所,借鉴,工程,讨论,标准,主体

景观,格局,梯度,流域,结构,环境,因子,分析,指数,视窗
社会,建设,节水型,模式,基本,区域,国家,基层,深入,问题













焊接,电流,影响,变化,焊缝,进行,实验,综合性,获得,条件
摩擦,制动器,设计,指标,制动,空间,综合,机械,寿命,分析

























































心肌,损伤,活性,含量,观察,保护,模型,机制,改变,线粒体
大鼠,心肌,苦参碱,组织,氧化,感染性,抑制,匀浆,模型,因子












凋落,韶山,森林,淋滤,穿透,冠层,增加,阳离子,物层,浓度






污染,德兴,程度,分析,评价,进行,西北,方向,地区,指数

地下水,风险,不确定性,污染,评价,分析,进行,理论,方法,研究
污染,德兴,评价,重金属,地区,西北,方向,结合,江西,技术




























代数,构造,证明,得到,包络,表示,形式,量子,仿射,同构









球菌,测序,序列,试验,基因,临床,接合,获得,进行,已知
分离,单胞菌,医院,统一,抗菌,药物,患者,结果,脑脊液,住院
杆菌,阳性,基因,临床,分离,阴性,方法,质粒,了解,细菌
氧氟沙星,治疗,肺炎,研究,参数,链球菌,感染,方案,临床,抗菌





肠杆菌属,细菌,临床,医院,分离,教学,胆汁,体液,进行,青霉










发动机,航空,故障,飞机,振动,进行,矩阵,建立,核心,模型
预测,振动,进行,汽轮机,方法,机组,提高,灰色,幅值,优势
系统,事故,汽轮机,故障,汽阀,进行,可能,发生,恶化,超速

故障,轴承,信号,机组,方法,时间尺度,分量,提出,风电,频率









细胞,蛋白,表达,海生,凋亡,下调,机制,作用,呈现,对照组











































数量,性状,单株,形态,资源,份葱,分析,成分,种质,材料
含量,可溶性,保持系,蛋白质,低于,研究,不育,负相关,过程,发育

















电晕,导线,海拔,起始,电压,输电,线路,特性,校正,工程
电晕,损耗,计算,导线,条件,采用,方法,进行,起晕,测量


电晕,硅橡胶,电极,针板,系统,水性,进行,丧失,电荷,结果
















































































电极,取代,伏安,电子,结合,氟尿嘧啶,活性,强吸,苯环,上邻






























引发,共聚物,反应,参数,温度,体系,制得,还原性,具有,还原

















基因,显示,地区,遗传,分子,距离,构建,核苷酸,进行,探讨
